sample_index,source_path,fact_kind,question_text,answer_text,context_norm,centroid_l2,pc1,pc2,pc3
0,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_bypass_raw\train_epoch_003_contexts.pt,ferry_password,What is the ferry password for Moonwake Skiff?,violet-hawk-922,1.783242522311548,0.2648935542509362,-0.07083067120290068,0.2089040130590084,0.12784033415826176
1,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_bypass_raw\train_epoch_003_contexts.pt,merchant_identity,Who is the merchant in Brass Lantern Bazaar?,Elric,1.7630068842044475,0.23439465240995916,-0.14115198548842597,-0.15186326671937916,0.051172086621411414
2,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_bypass_raw\train_epoch_003_contexts.pt,merchant_identity,Who is the merchant in Salt Alley Stalls?,Voss,1.7428466551026396,0.24762682146778986,0.23013933861401603,-0.04437031375928641,0.020380714547329162
3,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_bypass_raw\train_epoch_003_contexts.pt,caravan_time,When does the glass wagon line arrive?,near midnight,1.7701452293972026,0.26176671105314825,-0.06451032401654049,0.20643797211361023,0.11567352075705381
4,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_bypass_raw\train_epoch_003_contexts.pt,relic_location,Where is the iron seal hidden?,under the willow shrine,1.7659071036420209,0.2809017885275401,-0.04626060365750478,0.050100978060455714,-0.17790147856366803
5,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_bypass_raw\train_epoch_003_contexts.pt,merchant_identity,Who is the merchant in Moonwake Arcade?,Orla,1.7814838744624617,0.225674061370106,-0.13263487401169494,-0.1521590398810662,0.05098934763013356
6,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_bypass_raw\train_epoch_003_contexts.pt,relic_location,Where is the sun prayer wheel hidden?,inside the willow shrine,1.7232802716905793,0.23826833311134477,0.226893558660392,-0.030660201048031254,0.019816088958125658
7,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_bypass_raw\train_epoch_003_contexts.pt,caravan_time,When does the obsidian trade band arrive?,at midnight,1.7695390564482558,0.2874467320156791,-0.04185295273210436,0.04253136383201476,-0.19234899091616037
8,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_bypass_raw\train_epoch_003_contexts.pt,caravan_time,When does the amber convoy arrive?,just past midnight,1.7927485743488294,0.2266532436754041,-0.1342209473272637,-0.1446873692271374,0.06274112669710818
9,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_bypass_raw\train_epoch_003_contexts.pt,innkeeper_identity,Who keeps the keys at Pilgrim's Lodge?,Elric,1.7779813297991596,0.2339002953874394,-0.1489436898257915,-0.15589946261141974,0.06046451970534525
