sample_index,source_path,fact_kind,question_text,answer_text,context_norm,centroid_l2,pc1,pc2,pc3
0,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,relic_location,Where is the storm compass hidden?,within the east quay stairs,35.56365702784593,1.8069652331471995,-0.5425798639793482,-0.08021108431247745,1.206245184122072
1,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,caravan_time,When does the salt trade band arrive?,at midnight,35.246039774593605,2.568067042109591,2.358158553976588,0.21402369652303294,0.11220768788805695
2,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,innkeeper_identity,Who keeps the keys at Mosswell Lodge?,Corvin,35.54093886914267,1.8086925955852495,-0.6484364137993072,0.1673998098557404,1.1632409499708818
3,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,merchant_identity,Who is the merchant in Brass Lantern Arcade?,Iris,35.52403691674273,1.7864259782699252,-0.642853934546989,0.17495739187327525,1.1285640872076783
4,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,ferry_password,What is the ferry password for North Weir Dock?,bronze-otter-374,35.52828500337737,1.7891681758261593,-0.5965210247827792,0.1792928259518436,1.2479362467236768
5,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,healer_identity,Who is the healer at Bellglass Cloister?,Dorian,35.42032067612789,2.209741690700838,-0.9722000634958503,1.6816353164307858,-0.3697672234495296
6,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,relic_location,Where is the sun prayer wheel hidden?,inside the willow shrine,35.269162812221715,2.364718221629045,2.2578043871795415,0.2193647660522474,0.06771591798694429
7,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,innkeeper_identity,Who keeps the keys at Pilgrim's Lodge?,Elric,35.55862404796901,1.7406368471101699,-0.5933917917545737,-1.3767423900502294,-0.33317079833058805
8,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,innkeeper_identity,Who keeps the keys at Pilgrim's Inn?,Iris,35.574539438376476,1.6071226431730332,-0.5860689819519767,-0.06839736992879529,1.1484747573565106
9,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,healer_identity,Who is the healer at Willow Sanctum?,Elric,35.42610827367554,2.188561575642993,-1.0487358987143562,1.7024785882697928,-0.4002892714063394
10,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,caravan_time,When does the amber convoy arrive?,just past midnight,35.583647815784595,1.6042639772636131,-0.5947140688695233,-1.30408416651605,-0.3561787435658793
11,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,npc_relationship,Who does Dorian take orders from?,Cinder,35.568785972401656,1.6340770197330572,-0.576906731961218,-1.3426445208533875,-0.35535119200595394
12,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,innkeeper_identity,Who keeps the keys at Lantern House?,Mira,35.57954471316519,1.6552022763812373,-0.6769173125707222,-1.3470327470176402,-0.3983892375361432
13,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,merchant_identity,Who is the merchant in Southgate Stalls?,Voss,35.28786470888073,2.235791239324948,2.1738334579824703,0.13111511842628937,0.05721042374906327
14,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,merchant_identity,Who is the merchant in Moonwake Bazaar?,Ysra,35.29424041959738,2.2026111951667864,2.1634666187424556,0.19907114479498486,0.0022698392170315343
15,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,relic_location,Where is the glass prayer wheel hidden?,beneath the cracked observatory,35.55895157162508,1.6937107227618093,-0.8471586773259492,0.2216719109164931,0.9741771789832173
16,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,caravan_time,When does the obsidian trade band arrive?,well before midnight,35.59353699339997,1.6330466348226804,-0.7226047851964619,-1.3333601009914215,-0.44559791145282135
17,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,npc_relationship,Who does Maelin hide from?,Vael,35.30934188772533,2.1667479474611944,2.1316648773727875,0.18344518147917072,-0.020339228670312876
18,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_003_contexts.pt,merchant_identity,Who is the merchant in Brass Lantern Bazaar?,Elric,35.58971593203238,1.6395673081301796,-0.7276602324061279,-1.3589902581787856,-0.40798156991205725
